70098900;Brasília/DF;Asa Sul;Praça dos Tribunais Superiores Bloco B ; Superior Tribunal Militar
70100000;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes;
70100901;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Anexo III ; Gráfica do Senado Federal (SEEP)
70100902;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Lote M ; Espaço Cultural Israel Pinheiro
70100970;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Anexo IV Térreo ; AC Câmara dos Deputados
70150000;Brasília/DF;Zona Cívico-Administrativa;SPP;
70150900;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes ; Presidência da República
70150901;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Anexo IV ; Consultoria Geral da República (CGR)
70150902;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes ; Secretaria de Assuntos Estratégicos (SAE)
70150903;Brasília/DF;Zona Cívico-Administrativa;SPP ; Palácio da Alvorada (Residência Oficial do Presidente da República)
70150904;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes 4º Andar ; Casa Civil da Presidência da República (Palácio do Planalto)
70150905;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes 4º Andar ; Casa Militar da Presidência da República (Palácio do Planalto)
70150906;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes ; Secretaria Geral da Presidência da República
70150907;Brasília/DF;Zona Cívico-Administrativa;SPP ; Palácio Jaburu (Residência Oficial do Vice-Presidente)
70150908;Brasília/DF;Zona Cívico-Administrativa;SPP ; Fundescola (Pavilhão das Metas)
70160900;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes ; Câmara dos Deputados
70165900;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes ; Senado Federal
70170900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco H ; Ministério das Relações Exteriores (Palácio do Itamaraty)
70175900;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Lote Único ; Supremo Tribunal Federal
70175901;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Térreo Anexo II do STF ; Conselho Nacional de Justiça
70200001;Brasília/DF;Asa Sul;SCES Trecho 1;
70200002;Brasília/DF;Asa Sul;SCES Trecho 2;
70200003;Brasília/DF;Asa Sul;SCES Trecho 3;
70200004;Brasília/DF;Asa Sul;SCES Trecho 4;
70200010;Brasília/DF;Asa Sul;SES 801;
70200012;Brasília/DF;Asa Sul;SES 801 Conjunto A;
70200014;Brasília/DF;Asa Sul;SES 801 Conjunto B;
70200030;Brasília/DF;Asa Sul;SES 803;
70200050;Brasília/DF;Asa Sul;SES 805;
70200070;Brasília/DF;Asa Sul;SES 807;
70200090;Brasília/DF;Asa Sul;SES 809;
70200110;Brasília/DF;Asa Sul;SES 811;
70200130;Brasília/DF;Asa Sul;SES 813;
70200150;Brasília/DF;Asa Sul;SES 815;
70200610;Brasília/DF;Asa Sul;SGAS 601;
70200620;Brasília/DF;Asa Sul;SGAS 602;
70200630;Brasília/DF;Asa Sul;SGAS 603;
70200640;Brasília/DF;Asa Sul;SGAS 604;
70200645;Brasília/DF;Asa Sul;SGAS 604/605;
70200650;Brasília/DF;Asa Sul;SGAS 605;
70200660;Brasília/DF;Asa Sul;SGAS 606;
70200670;Brasília/DF;Asa Sul;SGAS 607;
70200680;Brasília/DF;Asa Sul;SGAS 608;
70200685;Brasília/DF;Asa Sul;SGAS 608/609;
70200690;Brasília/DF;Asa Sul;SGAS 609;
70200695;Brasília/DF;Asa Sul;SGAS 609/610;
70200700;Brasília/DF;Asa Sul;SGAS 610;
70200710;Brasília/DF;Asa Sul;SGAS 611;
70200715;Brasília/DF;Asa Sul;SGAS 611/612;
70200720;Brasília/DF;Asa Sul;SGAS 612;
70200730;Brasília/DF;Asa Sul;SGAS 613;
70200740;Brasília/DF;Asa Sul;SGAS 614;
70200750;Brasília/DF;Asa Sul;SGAS 615;
70200760;Brasília/DF;Asa Sul;SGAS 616;
70200900;Brasília/DF;Asa Sul;SES 807 Lote 26 ; Embaixada da Dinamarca
70200901;Brasília/DF;Asa Sul;SES 805 Lote 21A Via L3 Sul ; Embaixada da República Tcheca
70200902;Brasília/DF;Asa Sul;SES 805 Lote 21B Avenida das Nações ; Embaixada República Eslovaca
70200903;Brasília/DF;Asa Sul;SGAS 613 Conjunto E Bloco A ; Caixa de Assistência dos Funcionários do Banco do Brasil
70200904;Brasília/DF;Asa Sul;SGAS 605 Conjunto A ; Sebrae Nacional
70200905;Brasília/DF;Asa Sul;SES 803 Lote 12 Avenida das Nações ; Embaixada da Argentina (República Argentina)
70203900;Brasília/DF;Asa Sul;SGAS 608 Lote Único ; Hospital Regional da Asa Sul (HRAS)
70210000;Brasília/DF;Vila da Telebrasília;Vila da Telebrasília;
70210010;Brasília/DF;Vila da Telebrasília;Rua 1;
70210015;Brasília/DF;Vila da Telebrasília;Rua 2;
70210025;Brasília/DF;Vila da Telebrasília;Rua 4;
70210030;Brasília/DF;Vila da Telebrasília;Rua 5;
70210035;Brasília/DF;Vila da Telebrasília;Rua 6;
70210040;Brasília/DF;Vila da Telebrasília;Rua 7;
70210050;Brasília/DF;Vila da Telebrasília;Rua 8;
70210055;Brasília/DF;Vila da Telebrasília;Rua 9;
70210060;Brasília/DF;Vila da Telebrasília;Rua 10;
70210065;Brasília/DF;Vila da Telebrasília;Rua 11;
70210080;Brasília/DF;Vila da Telebrasília;Rua 13;
70210085;Brasília/DF;Vila da Telebrasília;Rua 14;
70210090;Brasília/DF;Vila da Telebrasília;Rua 15;
70210095;Brasília/DF;Vila da Telebrasília;Rua 16;
70210100;Brasília/DF;Vila da Telebrasília;Rua 17;
70210110;Brasília/DF;Vila da Telebrasília;Rua 18;
70210115;Brasília/DF;Vila da Telebrasília;Rua 19;
70210120;Brasília/DF;Vila da Telebrasília;Rua 20;
70210125;Brasília/DF;Vila da Telebrasília;Rua 21;
70210130;Brasília/DF;Vila da Telebrasília;Rua 22;
70210135;Brasília/DF;Vila da Telebrasília;Rua 23;
70210140;Brasília/DF;Vila da Telebrasília;Rua 24;
70210145;Brasília/DF;Vila da Telebrasília;Rua 25;
70210150;Brasília/DF;Vila da Telebrasília;Rua 26;
